Station,AQI,Times
Liberty (SAHS),53.70967742,202207
Manchester,42.29032258,202207
North Braddock,45.03225806,202207
Parkway East (Near Road),42.93548387,202207
Avalon,35.24137931,202208
Glassport High Street,36.64285714,202208
Lawrenceville,28.82758621,202208
Liberty (SAHS),46.27586207,202208
Manchester,37.51724138,202208
North Braddock,37.13793103,202208
Parkway East (Near Road),39.37931034,202208
