Station,AQI,Month,Date
Parkway East (Near Road),51.09677419,2021/08,08/15/21
Avalon,37.33333333,2021/09,09/15/21
Glassport High Street,35.03333333,2021/09,09/15/21
Lawrenceville,34.7,2021/09,09/15/21
Liberty (SAHS),42.66666667,2021/09,09/15/21
Manchester,34.93333333,2021/09,09/15/21
North Braddock,55.8,2021/09,09/15/21
Parkway East (Near Road),35.83333333,2021/09,09/15/21
Avalon,31.4516129,2021/10,10/15/21
Glassport High Street,33.22580645,2021/10,10/15/21
Lawrenceville,22.83870968,2021/10,10/15/21
Liberty (SAHS),37.83870968,2021/10,10/15/21
Manchester,31.29032258,2021/10,10/15/21
North Braddock,46.03225806,2021/10,10/15/21
Parkway East (Near Road),32.48387097,2021/10,10/15/21
Avalon,38.66666667,2021/11,11/15/21
Glassport High Street,34,2021/11,11/15/21
Lawrenceville,19.93333333,2021/11,11/15/21
Liberty (SAHS),48.1,2021/11,11/15/21
Manchester,34.6,2021/11,11/15/21
North Braddock,45.36666667,2021/11,11/15/21
Parkway East (Near Road),36.16666667,2021/11,11/15/21
Avalon,38,2021/12,12/15/21
Glassport High Street,31.51612903,2021/12,12/15/21
Lawrenceville,30.77419355,2021/12,12/15/21
Liberty (SAHS),43.35483871,2021/12,12/15/21
Manchester,39.64516129,2021/12,12/15/21
North Braddock,55.74193548,2021/12,12/15/21
Parkway East (Near Road),36.90322581,2021/12,12/15/21
Avalon,40.38709677,2022/01,01/15/22
Glassport High Street,30.4516129,2022/01,01/15/22
Lawrenceville,24.4516129,2022/01,01/15/22
Liberty (SAHS),42.32258065,2022/01,01/15/22
Manchester,32.74193548,2022/01,01/15/22
North Braddock,53.41935484,2022/01,01/15/22
Parkway East (Near Road),38.51612903,2022/01,01/15/22
Avalon,39.35714286,2022/02,02/15/22
Glassport High Street,34.28571429,2022/02,02/15/22
Lawrenceville,18.82142857,2022/02,02/15/22
Liberty (SAHS),48,2022/02,02/15/22
Manchester,38.28571429,2022/02,02/15/22
North Braddock,55.78571429,2022/02,02/15/22
Parkway East (Near Road),38.75,2022/02,02/15/22
Avalon,36.67741935,2022/03,03/15/22
Glassport High Street,32.80645161,2022/03,03/15/22
Lawrenceville,15.48387097,2022/03,03/15/22
Liberty (SAHS),47,2022/03,03/15/22
Manchester,33.74193548,2022/03,03/15/22
North Braddock,39.67741935,2022/03,03/15/22
Parkway East (Near Road),35.25806452,2022/03,03/15/22
Avalon,31.5,2022/04,04/15/22
Glassport High Street,29.36666667,2022/04,04/15/22
Lawrenceville,4.133333333,2022/04,04/15/22
Liberty (SAHS),36.73333333,2022/04,04/15/22
Manchester,30,2022/04,04/15/22
North Braddock,32.33333333,2022/04,04/15/22
Parkway East (Near Road),30.03333333,2022/04,04/15/22
Avalon,33.4516129,2022/05,05/15/22
Glassport High Street,37.38709677,2022/05,05/15/22
Lawrenceville,13.06451613,2022/05,05/15/22
Liberty (SAHS),39.09677419,2022/05,05/15/22
Manchester,29.38709677,2022/05,05/15/22
